time,gInt,aInt,gx,gy,gz,ax,ay,az
254337430,4990,4990,0.0027333554,0.0079455506,-0.0011067772,0.1443133354,-0.0702134818,-9.8096952438
254341069,4998,4998,0.0088276314,0.0037413409,0.0002030813,0.1250303984,0.0019879213,-9.7937374115
254350119,4996,4996,0.0065485686,0.0017771468,-0.0010681947,0.1307131648,0.0385484844,-9.7614297867
254351543,4995,4995,0.0081604877,0.0046060137,0.0002030162,0.1605780274,0.073901549,-9.8092517853
254359425,4993,4993,0.0015499928,0.0006703616,-0.0034151278,0.0842987746,0.0703417361,-9.8397064209
254360784,4999,4999,0.0070409589,0.0115006343,0.0016528504,0.1205916107,0.0871164724,-9.7537555695
254369601,4994,4994,0.0055940044,-0.0032711851,-0.0021372961,0.036547564,0.1025826111,-9.8125896454
254370621,4995,4995,0.0022931399,0.0118119903,0.0004436477,0.0391280726,0.0307910442,-9.7732095718
254380496,4998,4998,0.0029526625,-0.0022426057,-0.0010042073,0.0450170338,0.0491140932,-9.7647924423
254381025,4995,4995,0.0045038681,0.0075555965,-0.0001968028,-0.0120403059,0.017399719,-9.8232469559
254388921,4998,4998,0.0061867405,0.0057180217,0.0007044456,-0.0146438228,-0.0611120984,-9.7461986542
254390246,4996,4996,0.0013610716,-0.0026043241,-0.0010096569,-0.0090516387,-0.0320390835,-9.7891712189
254400120,4994,4994,0.0057265111,0.0111410161,9.46764e-05,0.0071244268,-0.0591059774,-9.8366279602
254400481,4999,4999,0.0038484042,-0.0010247335,-0.0010384917,0.0527501963,-0.0991178975,-9.761382103
254408736,4990,4990,0.0079067266,0.0105345976,0.0003848062,0.0456310138,-0.0331458859,-9.8026733398
254410084,4995,4995,0.0052940077,-0.0034910615,-0.0028636171,0.1349351406,-0.0584203079,-9.7935838699
254418435,4996,4996,0.0030123487,0.009064585,0.0004052868,0.1289853603,0.0174559578,-9.8224945068
254419614,4998,4998,0.0093535706,0.0048354869,-0.0011659693,0.1587195098,0.0226614736,-9.7574234009
254427001,4994,4994,0.0038187371,0.0007819341,-0.0019709039,0.1484929919,0.0739917308,-9.7875261307
254430595,4997,4997,0.0068852059,0.0099100657,0.0012990023,0.1264060289,0.0638106018,-9.8009185791
254438544,4995,4995,0.0030166844,-0.0001724296,-0.0017170813,0.0939970091,0.0756383017,-9.7773780823
254439678,4994,4994,0.0091889622,0.0113293426,0.0022867941,0.0602466837,0.1007126719,-9.8072395325
254449968,4993,4993,0.0039695948,-0.0012713874,-0.0001097642,0.0577082224,0.0687755495,-9.7703351974
254451258,4998,4998,0.0007381535,0.0101940269,0.0005617238,0.0320406631,0.0449997,-9.7941274643
254458147,4994,4994,0.007547549,-4.51897e-05,-0.0009523252,-0.0081964619,0.0400047004,-9.8021059036
254459592,4997,4997,0.0033680608,0.0078385584,-0.0005882006,-0.0088659041,-0.0361235701,-9.7970523834
254471768,4997,4997,0.0031441692,0.0063038766,-0.0008455519,-0.011485545,-0.055432599,-9.7910079956
254481244,4993,4993,0.0038277619,-0.0020855407,-0.0028206219,6.10301e-05,-0.0575439036,-9.8045806885
254478928,4999,4999,0.0071319044,0.0113707772,0.0008778009,0.0371648148,-0.0724147707,-9.7951173782
254491566,4993,4993,0.0054866322,-0.002845444,-0.0021686987,0.0515783131,-0.0749014616,-9.7408132553
254491876,5002,5002,0.0047547412,0.0089740995,0.0002762921,0.1017534137,-0.0058585717,-9.8319854736
254492718,4989,4989,0.0069915345,0.0006946903,-0.0005716139,0.1369541734,-0.0331746452,-9.8119916916
254498979,4998,4998,0.0042315484,0.0088450518,-0.001007073,0.1432777196,0.016914364,-9.7530860901
254516955,5002,5002,0.0106954463,0.003360389,-0.0002068274,0.1568458825,0.0944940299,-9.7889966965
254516753,4986,4986,0.0012902879,0.0007052156,-0.002246921,0.1394481063,0.0569334067,-9.7804203033
254517728,4996,4996,0.0060302406,0.0105485143,0.0010594727,0.1185679808,0.0886552259,-9.8013410568
254516792,4995,4995,0.0058734962,-0.0018040159,-0.0014377374,0.0918483287,0.0893994272,-9.7752809525
254523000,4998,4998,0.0062236828,0.0125505608,0.0010001066,0.0713201612,0.0758203492,-9.7729883194
254530029,4995,4995,0.0009804728,-0.0020774296,-0.0010990824,0.0212939084,0.0500111282,-9.7884073257
254540713,4994,4994,0.0033496798,0.0101381931,-0.001004467,0.0231901892,0.0452430956,-9.7842178345
254541372,4996,4996,0.0083776917,0.0037481722,-0.000114306,-0.0172952879,-0.0111674992,-9.7838048935
254551683,4996,4996,-0.0010167063,0.0025535214,-0.002332645,-0.0351171196,-0.0562366694,-9.7659845352
254550252,4997,4997,0.0017663548,0.0061446954,0.0023406362,0.0180460308,-0.0445001461,-9.7908182144
254561966,4994,4994,0.0043153572,0.0006091562,-0.0036469214,0.0020617645,-0.0689649805,-9.80991745
254560947,4998,4998,0.0064787548,0.012447115,0.0001468447,0.0378918983,-0.0928409472,-9.7522802353
254561263,4990,4990,0.0055923196,-0.0043834322,-0.0027104625,0.0837121904,-0.0134423757,-9.7997751236
254567359,4997,4997,0.0035265777,0.0092080431,-8.13404e-05,0.1297841966,-0.0224110056,-9.8277826309
254572359,4997,4997,0.0073864148,0.0027963014,-0.0018256385,0.1297801882,-0.0192934498,-9.7796936035
254578746,4992,4992,0.0058926269,0.0039780913,-0.0019977607,0.1269006133,0.0771036446,-9.7532758713
254585343,4999,4999,0.0080323806,0.0060789511,0.000856698,0.1808529794,0.0636451095,-9.7866592407
254584446,4995,4995,-4.34488e-05,0.0027652213,-0.0017460607,0.0959593728,0.0866454467,-9.8312320709
254591416,4996,4996,0.0087710163,0.0118864682,0.001220741,0.1033711657,0.0646858439,-9.7970790863
254609590,4992,4992,0.0045610112,-0.0030245821,-0.0016778851,0.0411948152,0.0983988568,-9.7848043442
254611154,4998,4998,0.001929126,0.0124760615,0.0008111678,0.0247787815,0.0500159413,-9.7629508972
254610072,4996,4996,0.0017114573,-0.0011222273,-0.000568973,0.0195437949,0.0275608208,-9.7777404785
254611312,4998,4998,0.0065884306,0.0082930243,0.0001609818,0.0111291306,0.0450637341,-9.8310747147
254618012,4993,4993,0.0067022108,0.0052944245,0.00103294,-0.0202329382,-0.0555503368,-9.7554302216
254628742,5000,5000,7.5401e-06,-0.0026062098,-0.0019011905,-0.0170000736,-0.0433625318,-9.7734947205
254630888,4995,4995,0.0073062694,0.0098839188,0.0008098314,0.0260709636,-0.0445330925,-9.8077898026
254630372,4991,4991,0.0039594173,-0.0020007184,-0.0012966678,0.0380385928,-0.1026384085,-9.7601060867
254639933,4996,4996,0.0061314586,0.0090325279,0.0009659777,0.0460534543,-0.0164452158,-9.7896766663
