time,gInt,aInt,gx,gy,gz,ax,ay,az
165314366,4994,4994,0.0027537241,-0.0027482903,-0.001693917,-0.0226000212,-0.1070857793,-9.7038450241
165314696,4997,4997,0.001178621,0.0106806355,0.0011571433,-0.0098635824,-0.048365064,-9.8169469833
165321099,4992,4992,0.0077986852,-0.0059598307,-0.0008676592,0.0345316119,-0.0690932572,-9.7551326752
165323931,4998,4998,-0.0021393776,0.0082463436,-0.0003612469,0.0225881934,-0.0993834659,-9.7907676697
165331441,4992,4992,0.0058702715,0.0017712301,-0.0016818033,0.1207765117,-0.0205729399,-9.7900304794
165334117,4995,4995,0.004102495,0.0028951075,-0.0021967408,0.0484495722,0.0435825102,-9.7446689606
165354576,4992,4992,0.0080011478,0.0030672308,0.0014735437,0.2010726482,-0.0473863743,-9.7691316605
165354922,4997,4997,-0.0018616075,0.0017991641,-0.0042926134,0.0521403141,0.1855808347,-9.8696613312
165354538,4994,4994,0.0078109424,0.010445538,0.0011960067,0.1961554587,0.0106964456,-9.6839885712
165362924,4995,4995,0.0005794619,-0.0068909619,-0.0029217727,0.06976863,0.1307159662,-9.732843399
165364470,4995,4995,0.0109987287,0.0115766441,0.0016153953,0.0934274793,0.1411602944,-9.8906612396
165364890,4992,4992,-0.0044819452,-0.0007734204,-0.0012523868,0.0643487275,0.0555586517,-9.7061910629
165370164,4997,4997,-0.0009323608,0.0036033555,0.0007662387,-0.0227417611,0.0560279936,-9.8051176071
165378864,4994,4994,0.00674544,0.0053877346,0.0025466117,-0.0044197123,0.0841088891,-9.7672195435
165385959,4993,4993,-0.0021603368,0.008835339,0.0032631855,-0.0456025712,0.0565730669,-9.840256691
165393797,4996,4996,0.0052559343,-0.0053333207,-0.0028280299,-0.0130084846,-0.1440793574,-9.6910905838
165400494,4994,4994,0.0023139648,0.0100002466,0.0017137476,-0.0433384143,-0.0262590051,-9.8205156326
165403718,4995,4995,0.0059174891,-0.0048445277,-0.0019161281,0.0311936792,-0.0967447236,-9.744846344
165414698,4997,4997,-0.0006789941,0.0042373938,-0.0021414929,0.0171771925,-0.0418725051,-9.7617340088
165415532,4988,4988,0.0066501736,0.0025073153,-0.001030383,0.1285477281,-0.0627670586,-9.8032131195
165438172,4998,4998,0.0039583226,0.001209927,-0.0017673171,0.0422177166,0.072193563,-9.7563514709
165437127,4995,4995,0.0083246063,0.0036677329,0.0003652563,0.2239222676,-0.0608093552,-9.7954711914
165438329,4995,4995,-0.0042553334,-0.0015755323,-0.0018852421,0.0111288931,0.1837150455,-9.8402757645
165437484,4994,4994,0.0082867611,0.0120324194,0.0011159707,0.2268323749,-0.0181362629,-9.6926374435
165439031,4995,4995,-0.0013380125,-0.0072048637,-0.001928399,0.0427167863,0.1458667517,-9.7392587662
165437472,4994,4994,0.0088420771,0.0112425303,0.0003053638,0.111727573,0.0941177011,-9.8678483963
165454615,4995,4995,-0.0021984112,2.87281e-05,-0.0002665899,0.0506701805,0.0850179344,-9.7099170685
165455061,4994,4994,0.0006866389,0.0027102623,-0.0013406188,-0.0162678808,0.0341209248,-9.7998304367
165456392,4994,4994,0.0045469562,0.0062527987,0.0022841445,-0.0229173098,0.0708896741,-9.771402359
165464260,4995,4995,0.0022418632,-0.0028092095,-0.0013583888,0.0022567355,-0.0813476592,-9.7279958725
165464494,4997,4997,-0.0038073331,0.0107724816,0.0018231788,-0.0681432262,0.0562703498,-9.8732042313
165473411,4992,4992,0.003080477,-0.0034301942,-0.0025934838,-0.014650248,-0.1390820295,-9.6972293854
165474465,4997,4997,0.000725797,0.0092424797,0.0006685763,-0.0325937122,-0.0109862043,-9.8050260544
165483644,4993,4993,0.008801382,-0.0032808373,-0.0011250346,0.020766912,-0.0718526244,-9.7825212479
165483867,4992,4992,-0.0041125081,0.0051627792,-0.0013751771,0.0234233253,-0.0509837642,-9.7487154007
165495087,4997,4997,0.0067197611,0.0039234576,-0.0012384324,0.0990237892,-0.0191378705,-9.7965507507
165496155,4995,4995,0.0024756968,0.0014412745,-0.0022328768,0.054955449,0.0131245684,-9.7679719925
165503547,4994,4994,0.007281478,0.0058619156,0.0006467614,0.2077716142,-0.0441445485,-9.7685966492
165514296,4995,4995,-0.0022762478,-0.0012608742,-0.0029476883,0.0418523662,0.1537678391,-9.8492136002
165514942,4994,4994,0.0058922884,0.0101413252,0.0013485405,0.2046847939,-7.05025e-05,-9.6826515198
165515535,4995,4995,0.0003161551,-0.0048953919,-0.0011065745,0.0592329465,0.1693885177,-9.7793245316
165524185,5005,5005,0.0087220892,0.009805724,-0.0001804847,0.0479467101,0.1102746874,-9.8723173141
165524283,4990,4990,-0.0029510264,0.0014543019,0.0001575658,0.0633445308,0.0581948757,-9.7090454102
165530268,4987,4987,0.0006444994,0.0017031955,-0.0011201355,-0.0062382417,0.0642702207,-9.8149843216
165533637,4997,4997,0.0055569764,0.0082814889,0.0020449134,-0.0143642491,0.047009211,-9.7656040192
165541616,4994,4994,0.0032122571,-0.0047769328,-0.0022015916,0.0007350594,-0.0477965698,-9.750164032
165542776,4996,4996,-0.0018623697,0.0110667916,0.0019451481,-0.0408677384,0.0166162252,-9.8344831467
165555997,4992,4992,0.0037661053,-0.0021182934,0.0002747437,-0.0080547025,-0.1411729455,-9.7352228165
165557527,4997,4997,0.0029307497,0.010248513,0.0005605872,-0.0316049755,-0.0252842624,-9.7959117889
165558599,4995,4995,0.0076572131,-0.0031475634,-0.0019812647,0.0310556591,-0.0771224052,-9.7498226166
165565510,4993,4993,-0.0024182217,0.0036291538,-0.0004178119,0.0456646755,-0.0749425888,-9.8255748749
165575125,5001,5001,0.0062752953,0.0074008675,-0.00010234,0.1047661453,-0.0249597728,-9.7700366974
165576736,4992,4992,0.0038936834,-0.0015780906,-0.0030970788,0.0813874304,0.0372633077,-9.7237691879
165576411,4991,4991,0.0068904874,0.0038779802,0.0014170208,0.1936846226,-0.0329851806,-9.7891540527
165585876,4995,4995,-0.0023699624,-0.0007183733,-0.0024021231,0.0549899638,0.1594146043,-9.8579931259
165594821,4994,4994,0.0042147464,0.0098088114,6.3643e-05,0.1921481788,-0.0071649691,-9.6623191833
165595948,4995,4995,0.0022449321,-0.0052979984,-0.0008471998,0.0701460466,0.171015054,-9.7614898682
165604466,4994,4994,0.0072715618,0.0090286294,0.0008226201,0.0948162675,0.1102349982,-9.9116411209
165606146,4997,4997,-0.002926335,0.0039025028,0.0024609948,0.0564235486,0.0611250401,-9.6998109818
165614265,4995,4995,-1.15376e-05,0.0010817231,-0.001480661,0.0025765207,0.0417416804,-9.7993307114
165614329,4993,4993,0.0072110081,0.0086427685,0.0033408327,-0.0151388226,0.0790961012,-9.768404007
165623259,5000,5000,0.002537691,-0.0045836135,-0.001552527,-0.0090906108,-0.0645432919,-9.7519407272
165624648,4993,4993,-0.0036921683,0.0107235555,0.0024451893,-0.0648666695,0.0466167443,-9.8229923248
165628494,4993,4993,0.0039195456,-0.0029242157,-2.28121e-05,-0.0060662306,-0.1396546215,-9.7187995911
165636556,4995,4995,0.001268512,0.0068392376,0.0002734669,-0.0392742045,-0.0324236229,-9.8145103455
165634915,4996,4996,0.0096229305,-0.0012465804,-0.0013078784,0.0375905298,-0.0924989954,-9.7409982681
165646904,4990,4990,-0.0038889528,0.0022761235,-0.0029764613,0.0559623018,-0.0536207706,-9.783780098
165654178,4995,4995,0.0056598186,0.0067868331,-2.74005e-05,0.1121734753,-0.0183404069,-9.7821388245
165655738,4995,4995,0.0035997713,-0.0017350415,-0.0024653117,0.0853913277,0.0488848723,-9.7594928741
165663484,4994,4994,0.0072969794,0.0054735336,0.0008890158,0.1915560216,-0.0390936472,-9.7900600433
165664913,4993,4993,-0.0007256083,-0.0003045198,-0.0023421538,0.0629709437,0.1798046976,-9.8547000885
165670849,4997,4997,0.0054755234,0.0068895798,-0.0002502646,0.228313446,-0.0124154408,-9.6645917892
165672323,4996,4996,0.0044091227,-0.0025763712,-0.000801075,0.0411068536,0.1656488031,-9.7645587921
165682684,5002,5002,0.0058756359,0.0085586421,-0.0014845084,0.0932930261,0.0804929584,-9.8784427643
165683943,4988,4988,-0.0036416652,0.0039921873,0.0021649518,0.0429038517,0.0948774219,-9.6898136139
165694991,4995,4995,0.0004048987,-0.0009760751,-0.0012208271,0.004042773,0.0241479445,-9.804189682
165696347,4990,4990,0.0074984641,0.0091569554,0.000897088,-0.0111768357,0.0897640362,-9.779800415
165697254,4997,4997,0.0025465975,-0.0040309839,-0.000821964,-0.02823212,-0.0904883742,-9.7350006104
165706798,4994,4994,-0.0044276607,0.0097736577,0.0009494488,-0.0282665081,0.0544911958,-9.8266973495
165706197,4995,4995,0.0047070128,-0.0029647301,-0.00050246,-0.0266125835,-0.1480850577,-9.7321834564
165725111,4994,4994,0.0015307848,0.0079649733,0.0001672232,-0.0290314853,-0.0220795646,-9.8023614883
165723735,4995,4995,0.0068338239,0.0003962849,0.0013821706,0.0276230853,-0.0990485996,-9.7506561279
165725097,4994,4994,-0.0027367708,0.0001734979,-0.0020107536,0.040958941,-0.0489280634,-9.7649917603
165726214,4995,4995,0.0076026917,0.0077074408,0.0006755064,0.1292800158,-0.0361442156,-9.7713479996
165733736,4996,4996,0.0054416116,-0.0014537828,-0.0031316734,0.0719264895,0.0582011417,-9.7674207687
165743392,4995,4995,0.0045096604,0.0062259771,0.000261145,0.2052897811,-0.0549597703,-9.7615776062
165744554,4993,4993,0.0003733598,0.0005186363,-0.0020745532,0.0596887097,0.2163118422,-9.8465919495
165755068,4995,4995,0.0060941642,0.0079755373,-0.0001456687,0.203847155,-0.03898881,-9.6856231689
165755806,5001,5001,0.002426198,-0.0022461042,-1.79261e-05,0.0324061662,0.2046377361,-9.761100769
165764312,4988,4988,0.0060846992,0.0054161903,-0.0009858862,0.1072579399,0.0762656033,-9.8550453186
165766014,4995,4995,-0.005010088,0.0050413515,0.0029240272,0.0714129061,0.1178489551,-9.7299308777
165774555,4996,4996,-0.0002404706,-0.0022129084,-0.0012962928,-0.0022742911,0.0515071973,-9.8006162643
165775918,4993,4993,0.0054172925,0.010039811,0.0027496761,-0.0136378799,0.0906993076,-9.7370872498
165780460,4997,4997,0.0014724048,-0.0056410306,-0.0013920496,-0.0168148894,-0.110397622,-9.7661714554
165785528,4992,4992,-0.0016608944,0.0105628185,0.000532626,-0.0670651495,0.0718300268,-9.8470058441
165784965,4995,4995,0.004842299,-0.0022100075,-0.0006212757,-0.0147780497,-0.1952543408,-9.6932077408
165794606,4995,4995,-0.0011818489,0.0044827373,-0.0001577895,-0.0370276161,0.0098212361,-9.8065891266
165801017,4994,4994,0.0086002378,0.0017917381,-0.000570739,0.0405315831,-0.1186101064,-9.7647266388
165804024,4995,4995,-0.0045734923,-0.0008458019,-0.0019123026,0.0351310037,-0.0399865881,-9.7695446014
165813275,4994,4994,0.0082811853,0.0091399392,0.0007902023,0.0765049085,-0.0408878438,-9.7637176514
165814724,4995,4995,0.004007983,-0.0040009827,-0.0029324812,0.12483152,0.0609359257,-9.7689962387
165818097,4994,4994,0.005986053,0.0054246862,0.0014305566,0.1806932837,-0.0230687056,-9.7715568542
165824453,4995,4995,0.0013888694,0.0016773359,-0.0010414539,0.0572119579,0.1950325072,-9.8295688629
165832501,5002,5002,0.0028454019,0.0062043327,-0.0006167978,0.2094888985,-0.0293073393,-9.6855888367
165831549,4987,4987,0.0055831354,0.0004558632,5.20866e-05,0.0381673984,0.2076381594,-9.7948570251
165843009,5002,5002,0.0057274685,0.0035394307,-0.0008595074,0.105349578,0.0581517331,-9.8315782547
165844164,4987,4987,-0.0036562076,0.0057731294,0.001792141,0.0423126742,0.1399251372,-9.7322645187
165855811,4997,4997,0.0008487846,-0.0018909241,-0.0003391442,-0.0150594749,0.0209634975,-9.7998838425
165855345,4997,4997,0.0070448937,0.010866235,0.0034373894,-0.0099902367,0.0613252595,-9.7377033234
165862826,4997,4997,0.0031062039,-0.0056548924,-0.0018990776,-0.0249166004,-0.1012793109,-9.7825317383
165863986,4997,4997,-0.0034222566,0.0095599936,0.001402248,-0.0594628528,0.0552376732,-9.807847023
165873958,4985,4985,0.0053463713,-0.000359756,-0.0009906067,-0.0046346043,-0.1880511492,-9.7215251923
165874554,4996,4996,0.0002513943,0.0036541079,-0.0001402257,-0.0540155619,0.0076799276,-9.8039503098
165881230,4994,4994,0.0089670867,0.0036911911,5.71146e-05,0.0632818118,-0.0944761708,-9.7514305115
165882441,4994,4994,-0.0041239224,-0.0019347335,-0.0033662918,0.0436414778,-0.0376984142,-9.7909154892
165897867,4992,4992,0.0066203242,0.0105376979,0.0014979767,0.1124253348,-0.0708605647,-9.7365007401
165899324,5005,5005,0.0044089714,-0.0047823372,-0.0029664841,0.1018190011,0.0553870387,-9.7841110229
165901569,4991,4991,0.0040794518,0.0043829922,-0.0008595664,0.1958796382,-0.0338761434,-9.7707242966
165909137,4997,4997,-0.0002059674,0.003352005,-0.0012075674,0.0762981698,0.2105022669,-9.855509758
165910165,4992,4992,0.0043902881,0.003947217,-0.0001269301,0.1840442121,-0.0357136913,-9.6767463684
165919477,4991,4991,0.0049725883,0.0012665763,0.0007149073,0.0343024582,0.208235696,-9.7956848145
165926081,4995,4995,0.0042368746,0.0019470563,-0.0023747603,0.0840906054,0.0418519303,-9.8769741058
165927344,4992,4992,-0.0017450629,0.0072729639,0.0020146663,0.0191768408,0.103481397,-9.6873159409
165932901,4996,4996,0.0009399064,-0.0040644952,-0.0013675863,0.0063773105,0.01763211,-9.808052063
165935576,4996,4996,0.0071681864,0.0098683685,0.0023545795,-0.0276971385,0.0786438286,-9.7650194168
165949371,4994,4994,0.0022329008,-0.0032420179,-0.0007681946,-0.0166283641,-0.0963441506,-9.7755346298
165950717,4995,4995,-0.0035461676,0.0073637618,0.0002052049,-0.0478560477,0.0422515273,-9.8068294525
165950080,4995,4995,0.0052716462,0.0016772323,0.0007115803,-0.0163457803,-0.1718762815,-9.7313518524
165955227,4994,4994,0.0011672355,0.0012263855,-7.312e-05,-0.0060966238,0.0035494994,-9.8186597824
165962088,4995,4995,0.0056103291,0.0043623033,0.0006675302,0.01761402,-0.1220538169,-9.7505321503
165964946,4994,4994,-0.0059496686,-0.0031703205,-0.0022600298,0.0949146301,-0.0352322832,-9.7602653503
165975503,4995,4995,0.0080782128,0.0102479868,0.0011401933,0.0880281553,-0.0255069789,-9.7724666595
165976396,4994,4994,0.0058544339,-0.0041542137,-0.0022473375,0.1209119335,0.0146553749,-9.7677526474
165980294,5004,5004,0.0027503681,0.0047229188,0.0003772829,0.1698799431,-0.0008266631,-9.7778863907
165985360,4986,4986,0.0029099158,0.0037503317,-0.0011511489,0.0758252293,0.1950083673,-9.8396120071
165985619,4996,4996,0.0020512468,0.0019328109,-0.0001433803,0.1693569422,-0.0482165553,-9.6674556732
165995560,4999,4999,0.0070103132,0.003520346,0.0008564523,0.0323507302,0.2186005116,-9.7921772003
166004465,4993,4993,0.0039066235,0.0007683493,-0.0016338205,0.0895743519,0.0377833694,-9.8706293106
166015089,4996,4996,-0.0049314988,0.0094352141,0.0022648608,0.0253421832,0.1138360798,-9.711274147
166014048,4989,4989,0.0023216377,-0.003963843,-0.0023750686,-0.0014319501,0.0208712257,-9.7928085327
166019079,4994,4994,0.0090124225,0.0103849741,0.0026532668,-0.0179262329,0.0342192501,-9.7244091034
166018162,4995,4995,0.0007503452,-0.0044438471,-0.0006410477,-0.052521877,-0.0725710392,-9.7752761841
166025899,4994,4994,-0.0024936139,0.0053587235,0.001413776,-0.0449891239,0.0547515377,-9.7910528183
166032626,4994,4994,0.0035517786,0.0028565698,0.0009182265,-0.0103870062,-0.1806452572,-9.7352333069
166032979,4998,4998,0.0014352624,0.0014070654,-0.0024610942,-0.0361077376,0.0202304367,-9.7920589447
166043500,4992,4992,0.0073770205,0.0043659457,0.0007374034,0.0209411252,-0.1128119379,-9.7560920715
166044728,4995,4995,-0.002909977,-0.0027243374,-0.0027038725,0.0717412382,-0.0241492204,-9.801115036
166052992,4992,4992,0.0060762451,0.0116229076,0.0004064475,0.0714400187,-0.0302172154,-9.7561683655
166053747,4998,4998,0.0062645748,-0.0041603781,-0.0020916562,0.1162278652,0.0501483642,-9.7889099121
166054904,4995,4995,-0.0001997566,0.0056904135,-0.0001767661,0.1480653435,-0.054327637,-9.7756700516
166064343,4992,4992,0.0045133526,0.0068078944,-0.0018349508,0.0967608914,0.2352066189,-9.8205461502
166073246,4997,4997,0.0006202368,-0.0016334936,-0.0022140781,0.1768030375,-0.0827210248,-9.6861457825
166074282,4994,4994,0.0067795306,0.0055157449,0.0015449864,0.0099672442,0.2685383558,-9.8084077835
166083226,4995,4995,0.0028062947,0.0012722164,-0.0012125262,0.1169558614,0.0181948934,-9.8172388077
166083466,4995,4995,-0.0015419289,0.0088407043,0.0030402001,0.0290565621,0.1474651992,-9.7130174637
166084869,4995,4995,0.0014136687,-0.0027219548,-0.001238204,-0.0310581326,0.0102704903,-9.8224134445
166094519,4996,4996,0.0064325109,0.0101102367,0.0020469639,0.0097336909,0.064510867,-9.7098655701
166103055,4992,4992,5.8142e-05,-0.0024587372,-0.0003589146,-0.0406186469,-0.0971475169,-9.8024501801
166103912,4994,4994,-0.0023710239,0.0073990636,0.000548147,-0.0379085578,0.0730225444,-9.8036184311
166106328,4997,4997,0.0041593877,0.0028605324,-0.0004787488,-0.0248145796,-0.2290868312,-9.7100791931
166114070,4992,4992,0.0019161372,0.0007672965,-0.0022688885,-0.0297111459,0.0471872129,-9.8324298859
166123145,4997,4997,0.0061542466,0.0050088493,0.0012944221,0.0478436612,-0.1552638859,-9.7655773163
166123716,4993,4993,-0.0023962837,-0.0043823957,-0.0030398697,0.0653585419,0.0157703571,-9.783326149
166133407,4995,4995,0.0055298745,0.0117789786,0.0009242751,0.0669312552,-0.065797396,-9.7377204895
166134048,5000,5000,0.0070283981,-0.0040705204,-0.0026585408,0.1177581176,0.0682790577,-9.818189621
166141204,4989,4989,-0.0001903267,0.0041808309,-0.0009995966,0.14587982,-0.0313547477,-9.7824144363
166141655,4994,4994,0.0034108807,0.007568636,-0.0012456931,0.0776963755,0.1944914311,-9.7738075256
166153123,4995,4995,0.0007868299,-0.0012223544,-0.0003186437,0.1724275053,-0.0507073216,-9.7116422653
166153590,4996,4996,0.007792986,0.0070951707,0.0013006554,0.0094002243,0.2981896996,-9.8164806366
166163802,4995,4995,0.000479551,-0.0001142576,-0.0004677727,0.0917289108,-0.0226922147,-9.7856082916
166164499,4993,4993,-0.0037270135,0.008817791,0.0021706193,0.0248511191,0.164492026,-9.7573051453
166168851,4994,4994,0.0029347339,-0.0026349437,-0.0019929016,-0.0152551662,0.0096664075,-9.8118972778
166176553,4996,4996,0.0058475635,0.0089754183,0.0019484296,-0.0098469108,0.0888743624,-9.707367897
