time,gInt,aInt,gx,gy,gz,ax,ay,az
137169973,5007,5007,0.0013776855,0.0060099284,0.0006033023,-0.0107574044,0.0067186272,-9.7411289215
137173551,4986,4986,0.0044094012,0.0019702315,-0.0002783228,-0.0744698271,-0.0066647255,-9.8053312302
137183768,5006,5006,0.0007638709,0.0027228268,-0.0025035765,0.0139415925,-0.0246244762,-9.7970991135
137186112,4988,4988,0.0052127051,0.0083956495,0.0015201285,-0.0064573521,-0.0343693309,-9.7320070267
137193389,4998,4998,0.0013778723,-0.0035177057,-0.0023194428,0.0517458878,-0.0041397167,-9.8047561646
137195076,5006,5006,0.0052752942,0.0087585673,-0.0001764084,0.0788431838,-0.0477147214,-9.7705545425
137203274,4991,4991,0.0035973317,-0.0027188018,-0.0006725192,0.1084170863,0.0009884335,-9.8110399246
137204686,4997,4997,0.0048799347,0.0084457984,-9.1953e-06,0.1001506895,0.0122466907,-9.7463693619
137209828,4999,4999,0.0068524764,6.4992e-05,-0.0001818717,0.0891288742,0.0413004085,-9.8256130219
137214653,4993,4993,0.0002442716,0.0059634075,-0.0013511576,0.0841684863,0.0547081791,-9.7843341827
137222787,5001,5001,0.0065385979,0.0063189017,0.0006603782,0.0555162169,0.1113589481,-9.7812452316
137223904,5001,5001,0.0017399372,-0.0039601089,-0.0014332591,0.0547413602,0.0889629796,-9.8175754547
137232136,4996,4996,0.0058429968,0.0135203851,0.0018673384,-0.0442581326,0.1244852245,-9.7813682556
137233759,4995,4995,-0.0012812365,-0.0039162207,-0.0015092611,0.0181599092,0.033091832,-9.7789134979
137244368,5002,5002,0.0065688784,0.0088040819,0.0017037023,-0.0680947378,0.09311717,-9.7665548325
137250804,4995,4995,0.0042613545,0.0008074273,-0.0010730651,-0.0420804843,0.0251618549,-9.8063650131
137251592,4990,4990,-0.0014219108,0.0038365575,-0.0008606704,-0.0464123674,0.0225258786,-9.7269535065
137253531,5016,5016,0.0036176385,0.004820344,0.0009512,-0.0699206665,-0.0093290918,-9.829949379
137263360,4998,4998,0.0018484409,0.0002374833,-0.0007193392,-0.0196123533,-0.0138304494,-9.7920284271
137265249,4982,4982,0.0061032372,0.0089388173,0.0019933663,0.0013394958,-0.0283553079,-9.7423744202
137275017,4998,4998,0.0020606341,-0.0057235179,-0.0027535814,0.0503115244,-0.0338045694,-9.7823152542
137276315,4993,4993,0.0043394128,0.0101778302,0.0004411092,0.0586707592,-0.0374133736,-9.7783870697
137282243,5019,5019,0.0049768616,-0.0011334685,-0.003047836,0.1128096357,-0.0214603674,-9.8228750229
137292742,4980,4980,0.0055386629,0.0065995883,-0.0004200517,0.0689894184,0.0219692662,-9.755364418
137291767,4999,4999,0.0055486877,0.000881103,-0.0008916329,0.096566245,0.0688788965,-9.8313560486
137297523,4993,4993,-0.0008181949,0.0028433488,-0.0020301,0.077959612,0.0703018084,-9.7572345734
137305550,4996,4996,0.0012733124,-0.0056932056,-0.003067256,0.0216386579,0.0719600916,-9.803030014
137315876,5005,5005,0.0038590832,0.0137286521,0.0018120037,-0.0139376316,0.1115402803,-9.7973031998
137317404,5000,5000,0.00074355,-0.0046779453,-0.001559599,0.0095519684,0.0260373466,-9.7627782822
137316310,4995,4995,0.0059863939,0.0101414621,0.0013408639,-0.0746224448,0.1191309765,-9.7632226944
137329150,5002,5002,0.0012865169,0.0017182758,0.0006423687,-0.0234372877,-0.0010322165,-9.8084430695
137328096,4993,4993,-0.001318223,0.0019108853,-0.001552853,-0.0758104548,0.0368873961,-9.741522789
137334207,5004,5004,0.0036033553,0.0053955656,0.0012330329,-0.0300258081,-0.0232070889,-9.8271923065
137343667,4998,4998,0.0021896104,-0.002206028,-0.0008585577,-0.0069456478,-0.01940809,-9.7669801712
137344731,5000,5000,0.0056620496,0.0097713461,0.0010820115,0.0111864684,-0.0113562429,-9.7825403214
137354218,5009,5009,0.0010964645,-0.0063741608,-0.0025217545,0.0663255602,-0.0368763022,-9.7873687744
137356510,4986,4986,0.0050695622,0.0116038248,0.0006929064,0.0447937958,-0.0096198143,-9.7980480194
137355501,4998,4998,0.006347307,-0.0020386367,-0.0002851717,0.1091607958,-0.0132861957,-9.7849550247
137362509,5002,5002,0.0035028106,0.0052126339,-0.0015060406,0.0747547001,0.0587230325,-9.7704029083
137372210,4997,4997,0.0057223779,0.0037822556,0.0003965065,0.098208636,0.0464720838,-9.8401546478
137375597,4997,4997,0.0014443332,0.0011612272,-0.0017319828,0.0621277727,0.0645937324,-9.7215204239
137383950,4995,4995,0.0070982608,0.0081575392,0.0003392657,0.0829053819,0.1179182976,-9.7938108444
137383557,5019,5019,0.00217776,-0.0019600862,-0.0024578436,0.0161444135,0.0777940005,-9.760468483
137385830,4997,4997,0.003307143,0.0143636474,0.0003235525,-0.0203827936,0.1249058098,-9.7916870117
137394560,4764,4764,0.00119799,-0.0054717595,-0.0020277882,-0.029632831,0.0334567539,-9.7926692963
137394591,4997,4997,0.0046648281,0.0102401953,0.0005313362,-0.0655309558,0.1051770151,-9.778386116
137398776,4994,4994,0.0028771383,0.0002617295,0.0006541103,-0.0189533047,-0.007510378,-9.8061132431
137406042,4996,4996,-0.0003103466,0.0017241081,-0.0001482128,-0.0631682202,0.0486255586,-9.7305688858
137417270,4987,4987,0.0053255972,0.0077017508,0.0024184571,-0.009268553,-0.0417845957,-9.8430070877
137418022,4998,4998,0.0017677944,-0.0029583536,-0.0025108282,-0.0195205864,-0.0259706043,-9.7625675201
137424469,4994,4994,0.0056764865,0.0116686523,0.0019545092,0.0202183202,-0.0226802807,-9.8035488129
137426069,4996,4996,0.0026493976,-0.0059631509,-0.0036493395,0.0679616928,-0.0520209298,-9.7803659439
137437566,5001,5001,0.0048914845,0.0133222174,3.30176e-05,0.0218955148,-0.0124926111,-9.8141546249
137438439,4987,4987,0.0063361237,-0.0041807569,-0.0020070637,0.1173057035,0.0126223629,-9.7770776749
137446793,4994,4994,0.0033176017,0.0042098416,-0.0013307608,0.0702936202,0.0415442623,-9.7860774994
137448344,4996,4996,0.0049962634,0.0068265893,0.0012581553,0.0919085816,0.0388628803,-9.7994718552
137456265,4995,4995,0.001924272,0.0013021969,-0.0027160917,0.067290172,0.0910714567,-9.7372655869
137457235,4998,4998,0.0090767862,0.0097453278,-0.0001384108,0.0748127997,0.0896107554,-9.8215198517
137463597,4990,4990,0.0011173211,-0.0033033409,-0.0022376233,0.0036232953,0.089670077,-9.7595443726
137469385,4997,4997,0.0033808742,0.0134688588,0.0023242908,-0.0156976972,0.0790116861,-9.7946939468
137479176,4995,4995,0.0020189877,-0.006394872,-3.60007e-05,-0.0234520193,0.0497950576,-9.7722291946
137479565,4995,4995,0.0046089524,0.0113452086,0.0009312736,-0.0730701163,0.0933900326,-9.7890777588
137489695,4994,4994,0.002107546,0.0016430964,0.0005198481,0.0063138576,-0.0155016044,-9.7674179077
137490279,4993,4993,-0.0013450243,0.0018082686,-0.0008399462,-0.0945906937,0.0472933985,-9.772851944
137496843,4999,4999,0.0068786545,0.0091848793,0.0022417004,0.0167613495,-0.0496510118,-9.8251142502
137505764,4992,4992,0.0003145652,-0.0031298506,-0.0030921549,-0.0338043272,-0.0044975695,-9.7507619858
137505913,4998,4998,0.0018149171,0.0114239771,0.0010477408,0.0515710451,-0.042067498,-9.80834198
137509406,4993,4993,0.0042685554,-0.0065734074,-0.0021597459,0.0861522853,-0.0260692313,-9.7712631226
137512391,4995,4995,0.0038313114,0.0117078116,0.0005060325,0.0474267229,-0.0426077619,-9.8267507553
137527609,4995,4995,0.0045132791,-0.0026738979,-0.0016884152,0.093755506,0.016695464,-9.7377252579
137525867,4995,4995,0.0040576174,0.0035698998,-0.002227948,0.0790185407,0.0361407921,-9.7993679047
137528786,4994,4994,0.0046066772,0.0056779021,0.0017857782,0.1283506155,0.0315066501,-9.8008470535
137534726,4996,4996,0.0018574178,0.0002744315,-0.0034744418,0.0467054099,0.1116802767,-9.7596530914
137550125,4995,4995,0.0071363277,0.0093821203,0.0008416731,0.0826577023,0.0771192908,-9.8079414368
137549730,4996,4996,0.0004172378,-0.0027356728,-0.0025669546,-0.0273880232,0.1027164459,-9.7427473068
137553051,4994,4994,0.0036897254,0.0120960679,0.0006947088,0.0157043114,0.0957075879,-9.8188962936
137551889,4994,4994,0.0017956602,-0.0040880195,-0.0005081213,-0.0203777868,0.0399928167,-9.7678728104
137569257,4996,4996,0.0039655752,0.0093940822,-0.0005950871,-0.0437362194,0.0696346536,-9.8148994446
137569099,4994,4994,0.0041938694,0.0019861693,0.0008117727,-0.022067016,-0.0086644981,-9.7303562164
137569483,4992,4992,0.0012585926,0.0022649835,-0.0009460928,-0.0880500078,0.0386283435,-9.8036613464
137579007,4997,4997,0.0045719491,0.0076271053,0.0024527893,0.0009470928,-0.0440764464,-9.8054361343
137579872,4996,4996,0.0025898216,-0.005519853,-0.0021681539,-0.0013372978,-0.0450963713,-9.7402629852
137588103,4995,4995,0.0043536816,0.0101532228,8.93472e-05,0.0514103211,-0.0338057093,-9.8215751648
137587758,4993,4993,0.0042605991,-0.0053374935,-0.0012738879,0.0606680103,-0.0372753218,-9.748711586
137594762,4996,4996,0.002758937,0.0105146384,-0.0005158642,0.0653329343,0.0156277213,-9.8168516159
137599102,4995,4995,0.0066999411,-5.98387e-05,-0.0009979986,0.0943870395,0.0275563449,-9.7612342834
137607226,4994,4994,0.0019112362,0.0038790267,-0.0008988743,0.090424411,0.0705222487,-9.816116333
137608374,4997,4997,0.0047631301,0.0073967581,-0.0006477706,0.125331983,0.0399867631,-9.7765340805
137618546,4993,4993,0.002232857,0.0010023396,-0.0031053221,0.0251916442,0.117611289,-9.7458877563
137620035,4996,4996,0.007310458,0.0099735046,0.0001025063,0.0726308227,0.0740704983,-9.840634346
137628666,4998,4998,0.000545312,-0.0014915655,-0.00189514,-0.0221500807,0.1180723906,-9.7649679184
137629685,4992,4992,0.0010253908,0.0109169194,0.0012271025,0.0074366927,0.0441394113,-9.7987995148
137635265,4996,4996,0.0042040688,-0.0035736605,0.0001899241,-0.0484912992,0.1132472754,-9.748085022
137635879,4994,4994,0.00237645,0.0102532487,-0.0007351076,-0.0447816849,0.0364971757,-9.8342475891
137647612,4993,4993,0.0024040579,0.0014891903,0.0001028341,-0.0370563716,0.0428846478,-9.7287416458
137648323,4996,4996,0.0010979791,-0.0002277362,-0.0024450105,-0.0594401285,-0.007441029,-9.808804512
137652191,4995,4995,0.0048027835,0.00793745,0.0029263662,0.0043035671,-0.0613253526,-9.8212509155
137657558,4994,4994,0.0034662909,-0.0011689916,-0.0023245679,-0.0038299968,-0.036741659,-9.7687129974
137675476,4994,4994,0.0025745141,0.0078774998,0.0010020781,0.0887016132,-0.0400376208,-9.7877759933
137676371,4994,4994,0.0046970332,-0.0033231298,-0.0012780945,0.038105879,-0.0061370651,-9.7765045166
137675620,4997,4997,0.0036236432,0.0094718076,-0.0003705012,0.0920895711,0.0024916595,-9.8157014847
137677073,4992,4992,0.0056612971,-0.0026263127,-0.0008966173,0.1190503836,0.0342010073,-9.7515134811
137678913,4997,4997,0.0026289849,0.0038799827,-0.0028245205,0.0826744512,0.0610374659,-9.8459329605
137689339,4992,4992,0.0045965128,0.0066156089,0.0014232695,0.1017144322,0.0439513996,-9.7558898926
137697735,4998,4998,0.0049699838,0.000147925,-0.0031862943,0.0367691815,0.1468206644,-9.7794790268
137698929,4996,4996,0.0046758642,0.0086645205,0.000984462,0.0736404061,0.0757434368,-9.8056869507
137709332,4994,4994,0.0007280214,8.94447e-05,-0.0024727406,-0.0196369682,0.1459476948,-9.7767629623
137710433,4999,4999,0.0006594218,0.0092060063,0.0023416698,0.0346594267,0.0350520276,-9.8144884109
137715837,4993,4993,0.0052568712,-0.0002436861,0.0001908408,-0.0515234806,0.1224562228,-9.7562055588
137716477,4993,4993,0.0015544031,0.0061739371,-0.0009658551,-0.0355566218,0.0139519963,-9.8248224258
137728733,4993,4993,0.0009846154,0.0032981837,0.0009158027,-0.0487292223,0.0304857753,-9.7343559265
137729467,4997,4997,0.0002227539,0.0001796974,-0.001671694,-0.0667697266,-0.0009410845,-9.8176240921
137736630,4994,4994,0.0043245992,0.0082112141,0.0019808158,0.0031501988,-0.0294947755,-9.7679424286
137737945,4991,4991,0.0022475398,-0.0022459594,-0.0036789537,-0.0165985357,-0.0153683769,-9.7854366302
137746802,4998,4998,0.0031888736,0.0076798233,-0.0001714609,0.0687576383,-0.0449322015,-9.7943630219
137748024,4996,4996,0.0025419402,-0.0007554507,-0.0012192335,0.0341712795,-0.0234444831,-9.7696971893
137757821,4995,4995,0.0022051537,0.0083815902,-0.0011539494,0.0990037695,0.0062847724,-9.8275547028
137758143,4994,4994,0.0057264338,0.001266189,-0.0016030845,0.1230883673,0.0350406505,-9.7296228409
137765395,5005,5005,0.001569898,0.0035139918,-0.0029413896,0.0790992379,0.0742475837,-9.8585119247
137766648,4985,4985,0.0064656916,0.0100743603,0.0003891465,0.1011637151,0.0675996691,-9.7255182266
137775439,4994,4994,0.0058191218,-0.0024583593,-0.0034535672,0.0498260818,0.1001177654,-9.7852668762
137776204,4996,4996,0.0048124818,0.0105606513,0.0002987059,0.0720582902,0.082018435,-9.8290252686
137787489,4992,4992,0.0015173566,0.0001960525,-0.000311959,-0.0121039925,0.1205663234,-9.7578792572
137787677,4995,4995,0.0012298808,0.0054738065,0.0007001242,0.0140486313,0.0468602814,-9.7991371155
137804998,4998,4998,0.0061196527,0.0028390959,0.0006612205,-0.0836074874,0.0901319683,-9.7560119629
137805468,4997,4997,0.0018810212,0.0048108581,0.0002740715,-0.0167416576,0.0059267627,-9.8123016357
137805218,4992,4992,0.0016166985,0.0048787827,0.001788934,-0.0772078112,0.0164043494,-9.747013092
137806333,4996,4996,0.0018897337,-0.000196253,-0.0018901047,-0.0500696264,-0.0209974181,-9.8214454651
137815257,4991,4991,0.0063763014,0.0073406366,0.0003074395,0.0036496837,-0.0383686274,-9.7608098984
137818229,5000,5000,0.0035824203,-0.0024063678,-0.0022353749,-0.0236737709,-0.0118378438,-9.7857723236
137829062,4997,4997,0.0038663356,0.0061685028,0.0006357534,0.0831436664,-0.0306779649,-9.7651700974
137829693,4988,4988,0.0069408165,-0.0003110845,-0.0014696646,0.0277463514,-0.0129380897,-9.791759491
137834056,4997,4997,0.0020802235,0.0055081416,-0.0026876789,0.1342345625,-0.0107210465,-9.8018045425
137840446,4995,4995,0.0063366182,0.0035111075,0.0009943616,0.0947649628,0.0606128238,-9.7349863052
137839680,4995,4995,0.0020734728,0.0007022235,-0.0023646122,0.1048431024,0.0295190904,-9.8511695862
137849324,4996,4996,0.0053863409,0.0122387493,3.63583e-05,0.0724913925,0.0748311281,-9.7355394363
137857824,4995,4995,0.0057059554,-0.0031893356,-0.0036623937,0.0381533951,0.0975387469,-9.7993783951
137858422,4996,4996,0.0042294837,0.0081770243,0.0021720189,0.0381747112,0.0717129409,-9.7763242722
137866792,4996,4996,0.0031329617,0.0023023093,-0.0012281607,-0.0380618088,0.0986512303,-9.7849264145
137868023,4993,4993,0.0002096378,0.0047434587,0.0003894111,0.0038795955,0.0576397963,-9.779086113
137876415,4994,4994,0.0053045466,0.0039433478,0.000277769,-0.0764756948,0.0859494805,-9.7803926468
137876540,4995,4995,-0.0015075571,0.0015808671,-0.000479416,-0.0047105793,0.024171399,-9.8052053452
137887975,4993,4993,0.0021256958,0.0080013629,0.0009781104,-0.0825303122,0.0147341657,-9.7552566528
137889082,4995,4995,0.0026168241,-0.0021141449,-0.0020550338,-0.0202519335,-0.0372386761,-9.8149967194
137898303,4996,4996,0.0052244347,0.0082649151,0.0027143303,-0.0007724907,-0.0262283441,-9.7570371628
137899150,4995,4995,0.0041403174,-0.0026950699,-0.0014105254,0.0088433297,-0.0058682715,-9.8192873001
137907291,4994,4994,0.0027112372,0.0052660466,-0.0001098642,0.0803453103,-0.0324698351,-9.7401590347
137907664,4996,4996,0.0069126496,0.0019075009,-0.0016107389,0.0460611321,-0.0326479077,-9.7996788025
137915399,4994,4994,0.0036877149,0.0026704201,-0.0018911852,0.113214232,-0.0068028765,-9.7902832031
137916201,5000,5000,0.0066194348,0.0031992556,-0.0008194537,0.0735388324,0.0518330969,-9.7606163025
137924584,4990,4990,0.0015064604,-0.0013130101,-0.0044054631,0.1034916937,0.0347697549,-9.844578743
137928091,4995,4995,0.0060243104,0.0105177341,0.0009851673,0.0355175138,0.0804350451,-9.7405843735
137934703,4999,4999,0.007287309,-0.0040505379,-0.0021250686,0.0623800233,0.0949010849,-9.8114299774
137935745,4991,4991,0.0034183383,0.0110179065,0.000576083,0.0003605571,0.098234348,-9.7672729492
137947610,4994,4994,0.0030837525,0.0038272117,-0.0014937478,-0.0210720822,0.0896292254,-9.7997741699
137948294,4998,4998,0.0010941395,0.00399742,8.13632e-05,-0.0098114815,0.0495851301,-9.765996933
137956845,4992,4992,0.0075494857,0.0060637882,0.0016027042,-0.0789377764,0.0942379236,-9.7818775177
137958124,4998,4998,-0.0014269664,-0.0008650067,-0.0004584223,-0.0071266098,0.0058543724,-9.7714395523
137966743,4995,4995,0.0037608924,0.0089810211,0.002028503,-0.0798543617,0.0356146768,-9.7471036911
137967796,4996,4996,0.0035300222,-0.0025687227,-0.0012501895,-0.0135764023,-0.0607208014,-9.8255958557
137976942,4991,4991,0.0059745992,0.0088350987,0.0021917904,-0.0331539214,-0.0207093507,-9.7446451187
137978190,4993,4993,0.0024753192,-0.0029473535,-0.0008044881,0.0567525513,-0.0412305444,-9.8132829666
137987425,4996,4996,0.0011627512,0.0039406894,-0.0010985917,0.0711624622,-0.0289702155,-9.7486009598
137988413,4995,4995,0.0072129485,0.0044934805,0.0004895938,0.0222311746,-0.007214447,-9.8263969421
137997734,4996,4996,0.0017663401,-0.0007304794,-0.0025174399,0.1494392604,-0.0130473925,-9.766500473
137999038,4994,4994,0.007032793,0.0077876113,0.0005275095,0.0533450842,0.0563272126,-9.7861423492
138004350,4995,4995,0.0008644034,-0.0011715168,-0.0030227946,0.1572741568,0.0052348096,-9.7781400681
138018835,4999,4999,0.0065205405,0.0123638492,0.0010201056,0.0449542254,0.114406094,-9.7440824509
138018809,4993,4993,0.0048466059,-0.002921131,-0.0017422631,0.0672409832,0.06512063,-9.839184761
138018032,4992,4992,0.0020392726,0.0103404317,7.43308e-05,-0.0366743691,0.1058381572,-9.7488641739
138027556,5006,5006,0.0058047152,0.0035316863,0.0006456586,0.0124097578,0.0877035558,-9.7985630035
138027189,4991,4991,3.40209e-05,0.0015482095,-0.0002926273,-0.0184965469,0.0599078946,-9.742316246
138030386,4989,4989,0.0075626066,0.0089735864,-5.06805e-05,-0.0711964741,0.0840051025,-9.8236846924
138044956,4992,4992,-0.0034856945,-0.0028701536,-0.001597735,-0.0092843203,0.0128670614,-9.764251709
138048011,4997,4997,0.0050156829,0.0102855014,0.0014189021,-0.0960715413,0.0243688449,-9.7755336761
138058781,4995,4995,0.0027057799,-0.0046928157,-0.00179347,0.0123930881,-0.0414386094,-9.8228569031
138057747,4996,4996,0.004493169,0.0090106865,0.0018097785,-0.0238000564,-0.0415580347,-9.7441186905
138069721,4993,4993,0.0021033499,-0.0010142341,-0.0015258563,0.0732413232,-0.0233846474,-9.8036670685
138068757,4996,4996,0.003751796,0.0026718338,-0.0014652597,0.0498741716,-0.0299409498,-9.7658414841
138069636,4993,4993,0.0076972493,0.0068405615,3.81814e-05,0.0679664835,0.0108821681,-9.8353652954
138076469,5002,5002,0.0008833259,-0.0022744499,-0.0020713424,0.1191977561,-0.0054838709,-9.7507324219
138089298,4990,4990,0.0064941444,0.0096710101,0.0016220537,0.0618749186,0.0700460225,-9.8181591034
138089326,5014,5014,0.0003133065,-0.0036441982,-0.0019765599,0.1137469262,0.0358673371,-9.7660951614
138098845,4976,4976,0.0052124094,0.0112905335,0.0009331064,0.0476859137,0.1292169094,-9.7537994385
138096484,4995,4995,0.003505168,-0.0054602134,-0.0029141349,0.0662063286,0.07231462,-9.8210048676
138105492,4993,4993,0.0013501697,0.0120705441,-0.000820226,-0.0523926727,0.1533025056,-9.7533626556
138105381,4994,4994,0.003892808,0.003135791,-0.0011473369,0.0271500219,0.0335828252,-9.781537056
138109279,4997,4997,0.0004474102,0.0002843455,-0.0019058473,-0.0370756574,0.0867722332,-9.7477321625
138117661,4996,4996,0.0048783724,0.0095364936,0.0019977102,-0.0460215136,0.0266481545,-9.8291816711
138119044,4996,4996,-0.0024772249,-0.0041208295,-0.0014120445,-0.008662777,0.0437715389,-9.7284450531
138128367,4993,4993,0.0039269268,0.0121651897,0.0026368811,-0.0782647654,-0.0242972169,-9.8053684235
138129508,4996,4996,0.0032148864,-0.0040491219,-0.0007362034,0.0168021787,-0.021924546,-9.8224191666
138145458,4995,4995,0.0033245787,0.0104376916,-0.0005456347,-0.0226528291,-0.0277222116,-9.7565689087
138148714,4989,4989,0.004491406,-0.0023831348,-0.0010024889,0.0745282471,-0.0145237194,-9.7933483124
138147883,4998,4998,0.0024893559,0.0030941672,-0.0014406022,0.0565340444,-0.0125532411,-9.7582302094
138148980,4995,4995,0.0065668472,0.0060765175,0.0005562735,0.0996740609,-0.0017311238,-9.819521904
138165829,4995,4995,0.0034162023,-0.0031116677,-0.0029779472,0.1056900173,0.0160496607,-9.7612218857
138166957,4998,4998,0.0076552974,0.0134267667,0.0004189381,0.0760753751,0.0675559714,-9.8251914978
138165920,4992,4992,0.0008744262,-0.0045573395,-0.0029032531,0.0975698531,0.0285567101,-9.7537603378
138167043,4995,4995,0.0062532434,0.0113263242,0.0007239609,0.0390927494,0.1521067768,-9.7716474533
138178363,4995,4995,0.0033387884,-0.0035175781,-0.001930672,0.0374755897,0.0550735518,-9.8202142715
138177514,4998,4998,0.0023351028,0.0112119205,-7.769e-06,-0.0376475789,0.1384472251,-9.7736501694
138179935,4993,4993,0.0036541435,0.0024498282,0.000561515,0.0134594319,0.0602737181,-9.7973499298
138188257,4996,4996,-0.0004193068,0.0006578328,-0.0004453867,-0.0796437562,0.1022702307,-9.7489023209
138197196,4989,4989,0.0059833,0.0114082582,0.0010668552,-0.0220442694,0.028464213,-9.8473901749
138198333,4998,4998,3.14771e-05,-0.0063670343,-0.0025906321,-0.0354565345,0.0305677131,-9.7173070908
138204470,4994,4994,0.0047348938,0.0116427019,0.0014063047,-0.0495266803,-0.0154794371,-9.8166799545
138205477,4996,4996,0.0035372062,-0.0052851955,-0.0008699295,0.0090385387,-0.0302140135,-9.7842664719
138216496,4992,4992,0.0023102174,0.0099576693,0.0006232245,0.0011900075,-0.0426162295,-9.7600450516
