time,gInt,aInt,gx,gy,gz,ax,ay,az
392619442,4994,4994,0.0036616102,0.002542244,0.0005397919,-0.0111487415,0.0877006501,-9.8594293594
392621104,4997,4997,0.0016277152,0.0045215553,-0.0006417667,-0.0074570165,0.0369902365,-9.7585916519
392628228,4995,4995,0.0068282634,0.0070772916,0.0012112383,-0.05576187,0.056583818,-9.8062992096
392629744,4996,4996,0.0015458058,0.0013076512,-0.0023541183,-0.0228864085,-0.0341542661,-9.7800502777
392636677,4996,4996,0.0037128362,0.0102074333,0.001155761,-0.0642996728,-0.0418829098,-9.7543268204
392638165,4995,4995,0.0045707403,-0.0039571123,-0.0017083903,-0.0231855139,-0.0801385641,-9.8615045547
392647958,4995,4995,0.0055214851,0.0122823874,-0.0006281852,-0.0126972171,-0.0930193663,-9.804151535
392647679,4998,4998,0.005574327,-0.0016064029,-0.001804705,0.0225069728,-0.0913287923,-9.7545022964
392650962,4991,4991,0.0047246185,0.0047524497,-0.0027384188,0.047906518,-0.0250412952,-9.7573823929
392660808,4998,4998,0.0077669532,0.0053989049,0.0003797673,0.0828006268,-0.0623334274,-9.8135299683
392667043,4995,4995,0.0032374405,0.0023932774,-0.002454465,0.110885568,0.040928144,-9.8357534409
392680336,4996,4996,0.0099584516,0.0110532641,0.0002924046,0.0777860284,0.0324061885,-9.7933702469
392679311,4995,4995,-0.0006142177,-0.0029005315,-0.0022030694,0.1025408059,0.075381577,-9.7637290955
392680782,4997,4997,0.0068394751,0.0129756201,0.0011809185,0.0491440296,0.1323765218,-9.7503757477
392686561,4994,4994,0.0057572452,-0.0017560364,-0.0012890727,0.0886526629,0.0628360882,-9.7966461182
392689149,4996,4996,0.0017775091,0.011553565,0.0001159622,-0.0394065902,0.1136876941,-9.8418464661
392698006,5001,5001,0.0049248114,0.0030319935,0.0009773743,-0.0026591867,0.033181496,-9.7776136398
392698940,4990,4990,0.0020467213,-0.0002079989,-0.0003477537,-0.03685477,0.0315945745,-9.7651777267
