time,gInt,aInt,gx,gy,gz,ax,ay,az
112446552,4996,4996,0.00372088,0.0084493617,-0.0003428988,0.0465473309,-0.0826801956,-9.7772607803
112446941,4997,4997,0.0093985675,0.0042231325,0.0004825511,0.0486813709,-0.0039996547,-9.7965660095
112456780,4994,4994,0.0029276863,-0.000559525,-0.0014651517,0.1156040803,-0.0560580753,-9.8083600998
112457931,4996,4996,0.0054212133,0.0099874176,-0.0001060997,0.1141760498,0.0015375392,-9.8100824356
112466258,4996,4996,0.0060255518,0.0007532762,-0.0020355731,0.1496351808,-0.0248437691,-9.782084465
112467617,4996,4996,0.0112156244,0.0085615404,-0.000950628,0.1246093661,0.0309508052,-9.7814083099
112477601,4999,4999,0.0048381933,-0.0026450576,-0.0020829779,0.129230231,-0.0056771105,-9.849896431
112479007,4995,4995,0.0008299517,0.0127766356,-0.0015175988,0.0979671255,0.075797312,-9.7915964127
112480239,4994,4994,0.011517494,0.0028650076,1.96489e-05,0.0761126652,0.0492550805,-9.7884836197
112488743,4996,4996,0.0034051635,0.0034017093,-0.0004825271,0.0534229688,0.0290777292,-9.7757530212
112496951,4995,4995,0.0041828617,0.0080529796,0.0021605622,0.0381260738,0.0573787577,-9.789850235
112497998,4996,4996,0.00168223,-0.0024581295,-0.0018054566,0.0385936052,0.050735157,-9.8096237183
112508663,4997,4997,0.0102134319,0.0130734267,0.0010961838,-0.0435992926,0.0152996713,-9.7833614349
112509909,4994,4994,0.0052019577,-0.0038950397,-0.0022370135,0.020817304,-0.0026616156,-9.7767133713
112510014,4996,4996,0.0027300366,0.0070149419,0.0002501963,-0.0211321414,-0.0075453687,-9.808968544
112519103,5000,5000,0.0077186343,0.0026191031,-6.79233e-05,0.0287821833,-0.0780827031,-9.8396263123
112527419,4989,4989,0.0049342229,0.0060597598,-0.0013658055,0.0655197576,-0.0535846725,-9.7449703217
112528458,4994,4994,0.011577771,0.0039015329,0.0008687013,0.0812477693,-0.0181476213,-9.7906417847
112537196,5001,5001,0.0006979998,-0.0005074461,-0.0025731111,0.1129098162,-0.0693391785,-9.8175592422
112538226,4999,4999,0.0089010345,0.0116624264,-0.0011237297,0.1070454717,0.0143307997,-9.8058605194
112543047,5013,5013,0.007733685,-0.002248968,-0.0027684469,0.1467542499,-0.0015356884,-9.799241066
112556424,4980,4980,0.005318867,0.0104476456,0.0003509475,0.1104366556,0.0308659151,-9.7678050995
112556983,5001,5001,0.005751146,0.0015888803,-0.0010552601,0.1192176938,0.0624117479,-9.8515958786
