time,gInt,aInt,gx,gy,gz,ax,ay,az
584021938,4990,4990,0.0058286153,0.0124351513,0.0021713288,-0.0260721762,-0.0777673572,-9.8172550201
584022805,5001,5001,0.001494916,-0.0075602909,-0.00076332,0.0580188371,-0.0283415988,-9.7777299881
584033157,4995,4995,0.0077823908,0.0124810375,0.0008474787,0.0125422878,-0.0548483506,-9.7806787491
584033749,4998,4998,0.0031215777,-0.0022251105,-0.0027746269,0.0949044898,-0.0453399755,-9.7990970612
584036829,4996,4996,0.0046808962,0.009975384,-0.00140272,0.0424944572,0.0172153413,-9.7813749313
584044048,5001,5001,0.0073487805,0.0022691151,-0.0017035316,0.1114915162,-0.0414766856,-9.8040685654
584052687,5003,5003,-0.0016896457,0.0045240917,-0.000703448,0.0571668856,0.0443610698,-9.7616100311
584064287,4989,4989,0.0089992592,0.0093377,0.0003191669,0.0644265711,0.0291227102,-9.770778656
584063302,5003,5003,0.0005920436,-0.0050236024,-0.0022213759,0.0343548842,0.0424303003,-9.797085762
584064665,4998,4998,0.0059688478,0.0186929759,0.0006018717,-0.0597730912,0.0696552247,-9.8719396591
584065521,5001,5001,0.0009557215,-0.0064619831,-0.0016461317,0.0315104686,0.0071336809,-9.7375106812
584072187,5002,5002,0.0073944042,0.0118797785,0.0017395853,-0.0980008096,0.0596427433,-9.8086452484
584082937,4996,4996,0.0034476097,0.0014266362,0.0005408914,0.0114811584,-0.049172394,-9.791595459
584084104,4997,4997,0.000345719,0.0059715458,-0.0006458881,-0.0735750943,-0.0015912222,-9.7439603806
584085663,4996,4996,0.0064333067,0.0054019121,0.000615161,-0.0189429875,-0.0667087957,-9.8580751419
584093885,4997,4997,0.0014598311,0.0002788041,-0.0007442551,-0.0069580302,-0.0564832129,-9.7796802521
584102378,4993,4993,0.0072138403,0.0124104554,0.0034735189,0.0065712282,-0.0649889931,-9.7597284317
584103329,5003,5003,0.0026986408,-0.0076137562,-0.0020536159,0.0953533426,-0.037518777,-9.7622900009
584105788,4993,4993,0.0046975883,0.0151762431,0.0003982404,0.0286527295,-0.0479988493,-9.8436403275
584114791,4995,4995,0.0050160605,-0.0020330122,-0.0016711239,0.1393235922,-0.0033011646,-9.7842416763
584120573,5000,5000,0.0064838277,0.0073336791,-0.0012567125,0.0419513509,0.0200537089,-9.8128824234
584132868,5006,5006,0.0018035213,0.0046547917,0.0004663965,0.1201871783,-0.0159380604,-9.8053274155
584133497,4994,4994,0.002458706,0.0031547276,-0.0024850825,0.0372557007,0.0928933173,-9.7331647873
584133921,5002,5002,0.009891226,0.0090097245,0.0003581773,0.0681372061,0.0193631165,-9.8130426407
584142606,4990,4990,-0.0016366158,-0.0004999268,-0.0039252918,-0.0382510573,0.0665518716,-9.8221635818
584143398,5006,5006,0.0039169039,0.0135286702,0.000950422,-0.0116923461,0.0320590176,-9.7722244263
584162644,4995,4995,0.0042828489,-0.0071087945,-0.0016487935,-0.0425087586,0.0343560167,-9.7626638412
584164218,4995,4995,0.0044719218,0.0141534023,0.0002052802,-0.0919231027,0.0018862733,-9.7953901291
584163249,5001,5001,0.0028918204,-0.0014801298,-2.23294e-05,-0.0164762903,-0.0226054844,-9.7685565948
584164401,4997,4997,0.0036393129,0.0024044197,-0.0012412854,-0.0816959441,-0.0231379513,-9.8369655609
584171770,5003,5003,0.0066826395,0.0099841682,0.0015367707,0.0325912125,-0.093708314,-9.8221988678
584172902,4997,4997,0.0006211579,-0.0041208393,-0.0021554793,0.0005867964,-0.0278362799,-9.7151193619
584181898,4992,4992,0.0084621264,0.0123502789,0.0005876274,0.0472058058,-0.0352261886,-9.8205080032
584183014,4998,4998,0.0023621898,-0.0053452938,-0.0005450728,0.0895944908,-0.0766333491,-9.8036260605
584184905,5000,5000,0.0045743589,0.0133512486,0.0013721359,0.0393013656,0.0001479122,-9.8428430557
584193686,4996,4996,0.0073984917,-0.0036792555,-0.0010863694,0.1039620042,-0.0277321581,-9.7805500031
584197204,5002,5002,0.0033816944,0.0073227771,-0.0002890488,0.0426069871,0.0520212576,-9.7757444382
584202747,5002,5002,0.0055365111,0.0070703062,-0.0001686223,0.1129583642,0.02093523,-9.7962646484
584204667,4990,4990,0.0032357445,0.0011196539,-0.0011790724,0.0257330146,0.0618441887,-9.7598867416
584212569,5003,5003,0.0054611056,0.0127781276,0.0014050601,0.0004282516,0.0414928086,-9.8622083664
584215557,4992,4992,0.0012793228,-0.0028061208,-0.002055136,-0.0348781198,0.0575807802,-9.7306623459
584223872,5003,5003,0.0039542024,0.0118569946,0.0017803946,-0.0218794867,0.0052566379,-9.7893075943
584231308,4997,4997,0.0057993545,-0.0022525089,-0.000385768,-0.0346833803,0.0316121578,-9.7908191681
584232582,4999,4999,0.0001777757,0.0136261936,-0.000740745,-0.0493811965,-0.0354734473,-9.7774496078
584242814,4999,4999,0.0058803083,-0.0021886746,-0.0002035097,-0.0084277615,-0.0130362706,-9.7841176987
584243816,4999,4999,0.0037174402,0.0054004625,-0.0011026039,-0.0577463433,-0.0809564441,-9.8178930283
584244317,5002,5002,0.003372354,0.0078576338,0.0013307588,0.0411505699,-0.0892068669,-9.7583818436
