time,gInt,aInt,gx,gy,gz,ax,ay,az
65050340,4997,4997,0.0018788083,0.0138248578,0.0021846902,-0.0312694907,0.0986624733,-9.7912473679
65050020,5002,5002,0.006431438,-0.0024562285,-0.0010790654,0.0127175227,0.0487894453,-9.7546472549
65060537,5002,5002,0.0040798769,0.0105519779,0.0010447198,-0.059126012,0.0716018453,-9.7821073532
65060802,4988,4988,0.002388095,0.0027807204,0.0004390998,-0.0062092952,-0.0166026652,-9.7821474075
65062972,4987,4987,0.000954694,0.0002979584,-0.0014982448,-0.0094545279,0.0270596016,-9.7902173996
65069039,4995,4995,0.0081411628,0.0096591832,0.000899459,-0.0080165407,-0.045991797,-9.8240690231
65078795,4995,4995,0.0032731276,-0.0008157562,-0.0004100196,0.0432289168,-0.006791627,-9.7248096466
65078040,4994,4994,0.006041239,0.0101172477,0.000556495,0.0567724071,-0.0326433331,-9.7864980698
65088920,4997,4997,0.0041263211,-0.0018922278,-0.0016604889,0.0742090344,-0.0063429978,-9.8197116852
65089384,4996,4996,0.0045716157,0.0130104022,0.0002697989,0.0918547958,-0.0270548612,-9.7859506607
65100281,4995,4995,0.0091875652,-0.0023303991,0.0013921756,0.0953753218,0.0523293018,-9.8112707138
65100321,4993,4993,0.0013542279,0.0063275802,-0.0023864831,0.0856946185,0.0127662485,-9.8008642197
65106996,4998,4998,0.0035200545,0.0078212442,0.0003846762,0.0855755135,0.0621020757,-9.762629509
65105946,4996,4996,0.0057834298,7.2312e-06,-0.0019142237,0.0348145403,0.1098561138,-9.7935266495
65110030,4995,4995,0.0062634367,0.0124493539,0.001333588,0.0425104536,0.0246187802,-9.8227205276
65111134,4995,4995,0.0007264225,-0.001998303,-0.0025011119,-0.0216088872,0.0812630281,-9.7967853546
65120355,4995,4995,0.0039608171,0.0112848515,0.0009225955,0.0098070558,0.0434656255,-9.7376194
65127871,4996,4996,0.0077515468,-0.0008057065,-0.0008455968,-0.0361245312,0.0868706778,-9.8118219376
65129879,4997,4997,0.0023094758,0.0082420819,-0.000593199,-0.0110703222,-0.0125427051,-9.7981557846
65130625,4992,4992,0.0050086672,0.0030878191,0.0015375474,0.0013986751,-0.013465371,-9.7772340775
65140530,4997,4997,0.0020178342,0.0023693852,-0.0015195971,-0.0211878624,-0.0220262948,-9.8365783691
65147853,4996,4996,0.007314581,0.0118558137,0.0018199721,0.0228999481,-0.0362300724,-9.7045946121
65150355,4997,4997,0.002858618,-0.0047794753,-0.0003208717,0.0489560626,-0.0248043556,-9.7746047974
65149511,4993,4993,0.0043166727,0.0120065715,0.0008023309,0.0664042905,-0.0070719738,-9.8128538132
65160002,4997,4997,0.0029193421,-0.0006744608,-0.0018495139,0.0945291817,-0.0209766775,-9.7854213715
65167946,4993,4993,0.0060764258,0.0070275352,0.0003606452,0.0940369591,0.0590651333,-9.7566928864
65168906,4997,4997,0.0060610687,0.003637471,0.0003258215,0.0955796763,0.0166640356,-9.7953901291
65177739,4992,4992,-0.0014158499,0.004316546,-0.0004401201,0.1014043465,0.0427132472,-9.7637777328
65190870,4995,4995,0.0093353251,0.0101729427,0.0004669625,0.0533599742,0.0991024598,-9.7793178558
65190188,4998,4998,0.0049686148,-7.98604e-05,-0.0014615024,0.0357390046,0.0706363097,-9.8033590317
65191098,4995,4995,0.0031883609,0.0133574484,0.0009281398,-0.0026295057,0.0759334937,-9.7912483215
65198894,4993,4993,0.0034464768,-0.0025209768,-0.0018166458,0.0011066562,0.0528823249,-9.7665929794
65200112,4999,4999,0.0044292598,0.0110734683,0.0005432124,-0.0125545682,0.0559114553,-9.7750635147
65207603,4996,4996,0.0045225262,0.0015860015,-0.0006251857,-0.0255040042,0.0042886776,-9.7887687683
65208590,4995,4995,0.0003794887,0.004910571,0.0003748395,-0.0119468272,-0.0044800704,-9.7716207504
65213755,4996,4996,0.0057601733,0.0050727101,0.0016503459,-0.0022670734,-0.037711598,-9.8186635971
65219367,4996,4996,0.0032007329,0.0013814752,-0.0015037026,0.0115920221,-0.0376933962,-9.7557621002
65227798,4992,4992,0.0064931465,0.0085075833,0.0021028055,0.0325545333,-0.0352985114,-9.7496948242
65229100,4996,4996,0.0024046733,-0.0050785025,-0.0012873472,0.09962897,-0.0124284308,-9.8191928864
65236384,4997,4997,0.0040251068,0.0143978754,0.0004486147,0.0858548582,-0.0199531112,-9.7899055481
65238279,4995,4995,0.0065906956,-0.0021056617,-0.0008620321,0.0995620489,0.009217456,-9.7722406387
65248210,4994,4994,0.0054402202,0.0075761057,-0.000781676,0.0572957657,0.0522431619,-9.8210334778
65249067,4996,4996,0.0030974702,0.004218068,-7.02301e-05,0.1052363589,0.0378257148,-9.7615833282
65259717,4993,4993,0.0028883901,0.0033285918,-0.0015453097,0.0483056903,0.1090136021,-9.7777862549
65260668,4998,4998,0.008877092,0.0081527317,0.0009894321,0.0543141924,0.0677010417,-9.7856168747
65268564,4995,4995,0.0004383928,-0.002611547,-0.0013566575,-0.0024778305,0.0622235499,-9.8076190948
65271374,4996,4996,0.0041544354,0.013553137,0.0019705689,-0.0139035536,0.0659997165,-9.7847280502
65278747,4996,4996,0.0063942443,-0.0034299437,0.0006666841,-0.0224207416,0.0533544794,-9.7534475327
65279441,4994,4994,0.0028515051,0.0123431748,-0.0001334852,-0.0462977588,0.038113948,-9.8141145706
65288023,4997,4997,0.0032919592,0.0011731206,-0.0002796754,-0.0054556811,0.0181684513,-9.7618465424
65289561,4994,4994,0.0009807459,0.0034269372,-0.0005835273,-0.0041263481,-0.0166270193,-9.8109397888
65297270,4994,4994,0.008075959,0.008039101,0.0001922083,0.0263705254,-0.008061273,-9.8093004227
65298724,4997,4997,0.0016909611,-0.0002300261,-0.0019814847,0.0626440942,-0.0546724088,-9.7333717346
65299568,4999,4999,0.0051424555,0.0088881413,-1.33322e-05,0.0610161088,0.002584835,-9.826177597
65308968,4991,4991,0.0032422254,-0.0027745636,-0.0025032463,0.0571018346,-0.0533383712,-9.8028039932
65317177,4995,4995,0.0046937331,0.0116258366,-0.0003584558,0.1166369244,0.018986946,-9.7718706131
65318525,4997,4997,0.0088203475,-0.0013422514,-0.0014871242,0.057858929,0.0333058424,-9.8080282211
65329244,4991,4991,0.0032421546,0.0081211664,-0.0003432842,0.1030292511,0.0318989232,-9.7604608536
65330330,4997,4997,0.0049350327,0.0057833884,0.0008191884,0.068591319,0.0583134815,-9.7939147949
65338302,4997,4997,0.0041008722,0.0022669169,-0.0013526565,0.0578004569,0.0789790079,-9.7953147888
65339261,4993,4993,0.004953071,0.0104403654,0.0031620411,0.0303409658,0.0508337095,-9.8032217026
65339840,4997,4997,0.0021313808,-0.0008650162,-0.0007541036,-0.0065445965,0.0687771365,-9.7571306229
65348820,4996,4996,0.0036107562,0.0109604513,4.57422e-05,-0.0071733464,0.0692804754,-9.7529258728
