time,gInt,aInt,gx,gy,gz,ax,ay,az
1514263031,4997,4997,0.0089920815,0.0111296037,0.000601346,0.0329547115,0.0887417421,-9.8197946548
1514265295,4993,4993,0.0011951993,-0.0011364059,-0.0013014941,0.0612164438,0.0228862427,-9.7749605179
1514277266,4995,4995,-0.0023672718,0.007648834,0.000101895,0.0149836615,0.0382771529,-9.807138443
1514278539,4996,4996,0.0101951687,0.005476445,0.0013271496,0.0066052298,0.031826783,-9.787352562
1514280994,4994,4994,0.0022336335,0.0003194469,-0.0015885652,0.005500034,-0.0421428569,-9.7627820969
1514289365,4996,4996,0.0025118948,0.0075935591,0.0020958183,-0.0116817504,-0.0074622096,-9.816362381
1514288963,4992,4992,0.001881063,-0.0031086351,-0.002410996,0.0180649236,-0.0588289164,-9.7851753235
1514298138,4996,4996,0.008063809,0.0102536399,0.00189651,0.0137339672,-0.0508093685,-9.7857151031
1514306655,4995,4995,0.0094391201,-0.0031232545,-0.0016577772,0.0793297067,-0.0309807584,-9.7522563934
1514306770,4998,4998,0.0030054883,0.0054486915,-9.3323e-06,0.1073396802,-0.0664440542,-9.8064346313
1514311475,4994,4994,0.0036438031,0.0029879671,-0.0009393162,0.1099282727,-0.0031657156,-9.8021850586
1514317918,4995,4995,0.0056885048,0.0043233237,-0.0017278411,0.1590320468,0.0055497224,-9.7379827499
1514327426,4997,4997,0.0110510793,0.0050233081,-0.0002597838,0.1378642768,0.0748548508,-9.7917747498
1514328508,4997,4997,0.0005496125,-0.0008102183,-0.0017496019,0.1519363672,0.0497673415,-9.8216409683
1514330207,4993,4993,0.0016199725,0.0121484986,0.0010050546,0.1294025332,0.0480014198,-9.7612714767
1514337882,4997,4997,0.0088741304,-0.0031306767,-0.0021967706,0.0801324993,0.1035081521,-9.7677764893
1514347025,5002,5002,0.0075393575,0.0103231883,-0.0002033422,0.0660658181,0.0507636182,-9.7829341888
1514347815,4987,4987,-0.0008855283,0.001183082,-9.1272e-05,0.0310748182,0.0510694683,-9.8068256378
1514357256,4995,4995,0.0004377356,0.007107663,-0.0004819921,-0.0093412725,0.0436525978,-9.801530838
