time,gInt,aInt,gx,gy,gz,ax,ay,az
67838169,4989,4989,0.0088298479,-0.0032490711,-0.0023693806,-0.033777535,0.0298931077,-9.770318985
67840975,4995,4995,0.0021859221,0.0095356554,0.0025184739,-0.0195446443,0.0212902054,-9.7727823257
67849437,4998,4998,-0.0043407595,-0.0036452543,-0.0013910513,0.006863609,-0.0190285798,-9.8292264938
67850102,4993,4993,0.0084821032,0.0092925141,0.0011451027,-0.0327794291,-0.0234386735,-9.7738428116
67859549,4994,4994,0.0110614598,-0.0022160483,-0.0006990593,0.0657648742,-0.0354920588,-9.7489900589
67859976,4995,4995,-0.0006980876,0.0024216331,-5.12639e-05,0.033514794,-0.0170228798,-9.831609726
67869483,4995,4995,0.0028368684,0.0093715284,0.0006347385,0.1052483022,-0.0142087443,-9.7813959122
67870751,4996,4996,0.0044812122,-0.0010406172,-0.0022979227,0.0877514929,-0.0468233302,-9.7381982803
67875414,4994,4994,0.0136067001,0.0077649667,0.0019003118,0.1054086313,0.0811768323,-9.8251886368
67881597,4996,4996,-0.0008362976,-0.004022738,-0.0021438396,0.1124876663,-0.0125968931,-9.8125667572
67891040,4992,4992,0.0001701291,0.0145098949,0.0009102481,0.0755493715,0.0863557011,-9.7662391663
67892263,4999,4999,0.0080810012,-0.0005365474,-0.0022063546,0.0660750493,0.0362725854,-9.7186937332
67899043,4995,4995,0.0092106862,0.0014963879,-0.0007669008,0.0193098206,0.1406692415,-9.8028678894
67911874,4994,4994,-0.0013211304,0.0064737611,0.0003118776,0.0040776613,0.0808332935,-9.8803634644
67912033,4998,4998,-0.0034411384,0.0039410968,-0.0012855444,-0.0114786895,0.0615353212,-9.7123336792
67912950,4994,4994,0.0117888357,0.0064987899,0.0021078561,-0.0374973454,0.0586615652,-9.7944126129
67912787,4994,4994,0.0042044162,-0.0036426485,-0.0019883062,-0.0006905821,0.0276047308,-9.7677545547
67924274,4994,4994,0.0010407493,0.0124396067,0.0011379069,-0.0096351225,0.0237610266,-9.8322877884
67931031,4996,4996,0.0017875179,-0.0037577481,-0.0019276984,0.0438291989,-0.0485955365,-9.7639398575
67931224,4994,4994,0.0114480928,0.0111416597,0.0018008646,-0.0306602512,-0.021782523,-9.7411518097
67941763,4994,4994,0.0073561398,-0.0050886925,-0.0005934468,0.09872289,-0.0477979667,-9.7888717651
67942630,4998,4998,-0.002889636,0.0054360502,-0.000461541,0.0071339309,-0.0187270977,-9.842092514
67952394,5004,5004,0.0042272219,0.0085227042,0.0018067684,0.1490808874,-0.0507441573,-9.7427177429
67953464,4987,4987,0.0092149097,-0.0027417634,-0.0020258906,0.0739476979,0.062691845,-9.7540531158
67962492,4995,4995,0.0085971011,0.0097133983,0.000668168,0.1122880206,0.0012952103,-9.8350019455
67963818,4995,4995,-0.0047635678,-0.0040604258,-0.002789367,0.1148577929,0.0996838957,-9.7968521118
67970782,4995,4995,0.0059115412,0.0147176599,0.0011478583,0.0531419516,0.0305556916,-9.7863893509
67971790,4992,4992,0.0123598492,-0.0039542131,-0.0003706256,0.0883045793,0.1011635512,-9.7121334076
67982067,4995,4995,0.0035818971,0.0055260034,-0.0016762522,0.0022344624,0.0863526016,-9.8404836655
67983068,4998,4998,-0.0022198407,0.0079438025,0.0009698983,0.0385809913,0.0548628047,-9.7740430832
67993127,4997,4997,0.0027821299,0.0009121492,-0.0024658912,-0.0602183007,0.0650687143,-9.7627973557
67993790,4994,4994,0.0132508054,0.0086990856,0.0012297685,-0.0011835932,0.0391063951,-9.8059539795
68003202,4995,4995,0.0007084752,-0.0059859916,-0.0025804574,-0.0166674927,0.0275155697,-9.7557868958
68004133,4995,4995,-0.0009985991,0.012360069,0.0014824907,-0.0082591176,0.0009466368,-9.7963914871
68009222,4994,4994,0.0055599031,-0.002778925,-0.0010240676,-0.0147592006,-0.0314069241,-9.7183971405
68014625,4997,4997,0.0115639828,0.0069791665,0.0007089447,0.0378937162,-0.015908571,-9.7953720093
68026246,4993,4993,1.67162e-05,0.0056354161,-0.0016603922,0.1117064804,0.0063437121,-9.7930822372
68044061,5000,5000,0.0096252654,0.0069202497,0.0011316168,0.1096625924,-0.0641623139,-9.6883745193
68045161,4995,4995,0.0087151518,-0.0044882111,-0.0029075409,0.0829964802,0.073287487,-9.7882299423
68045475,4993,4993,0.000618486,0.0097019924,0.0015918392,0.1328031123,-0.0015256985,-9.8541545868
68057187,4995,4995,0.0002015058,-0.0017685869,-0.0016573992,0.0766360238,0.0966013521,-9.8124389648
68056078,4995,4995,0.0057709678,0.0127409315,0.0001232518,0.0737161487,0.0164379738,-9.7133197784
68056820,4995,4995,0.0118391765,-0.004439909,-2.47982e-05,0.0515268594,0.1343640983,-9.7127590179
68062792,4995,4995,-0.0035697327,0.0072671329,-0.001503311,-0.0077851326,0.0728136823,-9.877614975
68066129,4996,4996,-0.0008344568,0.0078985095,0.0002454576,0.0161087066,0.092826575,-9.756313324
68073231,4998,4998,0.0074493708,0.0005087676,-0.0021231587,-0.0624163151,0.0484611914,-9.7915725708
68086560,4995,4995,0.009985799,0.0084445495,0.0022219545,0.0273117963,0.0352615491,-9.7503957748
68085894,4993,4993,-0.0045241052,-0.002588433,-0.0011934274,-0.0530091114,0.0137026366,-9.792517662
68096422,5000,5000,0.0001483571,0.0111153517,0.0008826936,0.0247902293,-0.0085339528,-9.7730312347
68095584,4996,4996,0.0104093282,-0.0027107736,-0.0005938797,-0.0378520079,-0.0467516556,-9.7735767365
68107276,4998,4998,0.004581166,0.0021802972,-0.0009791796,0.0971420854,-0.0388684757,-9.8196792603
68106417,4990,4990,0.0024308702,0.0022000477,-0.0003049106,0.0579391755,-0.023815047,-9.8074817657
68118072,4992,4992,-0.0009645187,0.0034832619,-0.0009869658,0.1238082424,-0.0530591868,-9.7119321823
68116990,4994,4994,0.0119592194,0.0062295632,0.000677772,0.0985524654,0.0569508076,-9.759311676
68118201,4995,4995,0.0069688237,-0.0041054408,-0.0029444902,0.080243282,0.0217702929,-9.8677587509
68125441,4997,4997,-0.0032961355,0.0119394558,-0.0003650306,0.1343733817,0.0492273383,-9.8255109787
68131650,4996,4996,0.0049058557,0.0019054303,-0.0027480389,0.0479586683,0.0760494694,-9.7574205399
68132445,4997,4997,0.0105339009,0.0061050165,-0.0010554889,0.1022164747,0.0735685602,-9.6874256134
68137774,4992,4992,0.006981228,-0.0005461295,0.000250852,-0.0106300935,0.1284867525,-9.8808469772
68147049,4994,4994,-0.0072753709,0.008880049,-0.0015694237,0.0419898443,0.0547854565,-9.8045768738
68148380,4995,4995,0.0067009614,0.0065832194,0.0011928821,-0.0239179432,0.0821500942,-9.7347555161
68156109,4995,4995,0.0106687862,-0.0020580897,-0.0002446885,-0.0647077635,0.0010078565,-9.815990448
68157543,4996,4996,0.003920096,0.009492008,0.0020475916,-0.002355797,0.0426012725,-9.7467031479
68166279,4995,4995,-0.0024567142,-0.0018313247,-0.0027425485,-0.0266654529,-0.0408127718,-9.833571434
68169743,4995,4995,0.0047426969,0.0100694764,9.25164e-05,-0.0364372768,-0.0222878456,-9.7498321533
68168839,4995,4995,0.0143142873,-0.0020661554,-7.94762e-05,0.0432352722,-0.0144109307,-9.7685976028
68178259,4995,4995,-0.0009961044,0.0006358987,-0.0008011642,0.0538489074,-0.0333736911,-9.8268880844
68186484,4996,4996,0.0019935842,0.0075920285,0.0023269881,0.0919025764,-0.0022316438,-9.8116149902
68187782,4995,4995,0.0049474305,-0.0004677038,-0.00177195,0.1513042599,-0.0463125482,-9.7087469101
68197565,4995,4995,0.0132412473,0.0078822477,0.0017424299,0.0991919264,0.0388392024,-9.7781715393
68198888,4995,4995,0.0001569331,-0.0035410475,-0.0026572654,0.1267180145,0.0415912643,-9.851231575
68208185,4995,4995,0.0008279207,0.0124649564,0.0005320621,0.1142850965,0.0750515684,-9.7653245926
68209594,4995,4995,0.0079345927,0.0011229963,-0.0016585656,0.1045054346,0.0400414206,-9.7643890381
68215536,4995,4995,0.0106359301,0.0053644511,0.000579293,0.0422124937,0.116862379,-9.7177743912
68220940,4996,4996,0.0021813812,0.0039443499,0.0002424771,0.0188924409,0.0905825794,-9.8670301437
68230466,4993,4993,0.0116946958,0.007958984,0.0017098374,-0.0662514046,0.055664856,-9.7635507584
68238547,4997,4997,0.0072267922,-0.0045781233,-0.0011481975,-0.0013455771,0.0132403905,-9.7553052902
68239280,5005,5005,-0.0011907091,0.0101532051,0.0018397149,-0.0674381331,0.0341452956,-9.8165273666
68248818,4985,4985,0.0003133785,-0.0035427115,-0.00197785,0.0352317058,-0.0305511821,-9.7891845703
68250095,4996,4996,0.0087359529,0.0111919427,0.000738107,-0.0667407513,-0.0082948934,-9.745634079
68258368,4994,4994,0.008430724,-0.0035799225,0.0013841944,0.1042391807,-0.0312659182,-9.7899332047
68257662,4996,4996,-0.0037199319,0.0033023886,-0.0015631139,0.0319613069,0.0132124396,-9.8292627335
68269389,4995,4995,0.0075858016,0.0091681788,0.0003664966,0.1258215904,-0.060663376,-9.7515563965
68270368,4996,4996,0.0060603209,-0.0013135872,-0.0030739722,0.0958321467,0.0035401725,-9.7362203598
